event,net,sta,ML_station_mean,ML_station_median,ML_station_std,n_horizontal_component,distance_km,distance_min_km,distance_max_km,header_ML,amplitude_h_nm_max,amplitude_h_nm_mean,amp_window_start,amp_window_end,s_pick,s_source,ML_formula,ML_HHE,ML_HHN,ML_HHZ,amp_nm_HHE,amp_nm_HHN,amp_nm_HHZ,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,abs_ML_station_minus_header,reject_reason,pass_filter
20060106182759_ML3.6,TW,TTVB,4.1236972920689965,4.1236972920689965,0.2579722104074538,2,212.66404724121097,212.66404724121097,212.66404724121097,3.5999999046325684,2572.975904636843,1841.852208687471,2006-01-06T18:29:05.699995,2006-01-06T18:30:28.676031,2006-01-06T18:29:05.699995,header,SEISAN_HUTTON_NM,3.941283392732203,4.30611119140579,3.916700843835688,1110.7285127380983,2572.975904636843,1049.6037449578448,4.1236972920689965,0.2579722104074538,3.916700843835688,-0.2069964482333084,0.5236973874364281,0.5236973874364281,,True
20060106182808,TW,DBVB,4.307555667603053,4.307555667603053,0.0037051736988601,2,97.6240234375,97.6240234375,97.6240234375,3.5999999046325684,10168.532404385109,10107.55762731901,2006-01-06T18:28:38.729994,2006-01-06T18:29:11.982682,2006-01-06T18:28:38.729994,header,SEISAN_HUTTON_NM,4.304935714155115,4.310175621050991,3.9115100896485497,10046.582850252911,10168.532404385109,4060.623704430816,4.307555667603053,0.0037051736988601,3.9115100896485497,-0.3960455779545029,0.7075557629704843,0.7075557629704843,,True
20060106182808,TW,LCVB,3.9893439738446737,3.9893439738446737,0.0294680033907212,2,74.96392059326172,74.96392059326172,74.96392059326172,3.5999999046325684,7540.725727965039,7195.745557510082,2006-01-06T18:28:31.209998,2006-01-06T18:28:56.875947,2006-01-06T18:28:31.209998,header,SEISAN_HUTTON_NM,3.9685069488190665,4.010180998870281,3.787375392318568,6850.765387055125,7540.725727965039,4514.477972609487,3.9893439738446737,0.0294680033907212,3.787375392318568,-0.2019685815261058,0.3893440692121053,0.3893440692121053,,True
20060106182808,TW,MCVB,4.4638783266212885,4.4638783266212885,0.1251987954123236,2,266.3656921386719,266.3656921386719,266.3656921386719,3.5999999046325684,2797.017522456635,2328.775208092732,2006-01-06T18:29:28.199995,2006-01-06T18:31:04.477128,2006-01-06T18:29:28.199995,header,SEISAN_HUTTON_NM,4.375349409388847,4.55240724385373,4.3929796270584225,1860.532893728829,2797.017522456635,1937.6153676926149,4.4638783266212885,0.1251987954123236,4.3929796270584225,-0.0708986995628659,0.8638784219887201,0.8638784219887201,,True
20060106182808,TW,TGVB,4.133247214871902,4.133247214871902,0.2093966640088369,2,115.4921417236328,115.4921417236328,115.4921417236328,3.5999999046325684,7304.654262510346,5499.204532815399,2006-01-06T18:28:42.800002,2006-01-06T18:29:23.894761,2006-01-06T18:28:42.800002,header,SEISAN_HUTTON_NM,3.9851814137934127,4.281313015950392,3.93638960001018,3693.754803120452,7304.654262510346,3301.233542656078,4.133247214871902,0.2093966640088369,3.93638960001018,-0.196857614861722,0.533247310239334,0.533247310239334,,True
20060106182808,TW,TTVB,4.1236972920689965,4.1236972920689965,0.2579722104074538,2,212.66404724121097,212.66404724121097,212.66404724121097,3.5999999046325684,2572.975904636843,1841.852208687471,2006-01-06T18:29:05.699995,2006-01-06T18:30:28.676031,2006-01-06T18:29:05.699995,header,SEISAN_HUTTON_NM,3.941283392732203,4.30611119140579,3.916700843835688,1110.7285127380983,2572.975904636843,1049.6037449578448,4.1236972920689965,0.2579722104074538,3.916700843835688,-0.2069964482333084,0.5236973874364281,0.5236973874364281,,True
20060112010459_ML4.8,TW,DBVB,5.880666470488905,5.880666470488905,0.1124638112713916,2,248.77407836914065,248.77407836914065,248.77407836914065,4.800000190734863,83303.58582161837,70531.03911681628,2006-01-12T01:06:41.978997,2006-01-12T01:08:13.448386,2006-01-12T01:06:41.978997,header,SEISAN_HUTTON_NM,5.9601903940769905,5.80114254690082,5.454991673377662,83303.58582161837,57758.49241201418,26029.4490297619,5.880666470488905,0.1124638112713916,5.454991673377662,-0.4256747971112435,1.080666279754042,1.080666279754042,,True
20060112010459_ML4.8,TW,LCVB,5.786862915782787,5.786862915782787,0.0511599173115387,2,203.6369476318359,203.6369476318359,203.6369476318359,4.800000190734863,92328.08054827918,85243.87895655792,2006-01-12T01:06:22.909005,2006-01-12T01:07:43.356965,2006-01-12T01:06:22.909005,header,SEISAN_HUTTON_NM,5.823038440238719,5.750687391326855,5.402792505225399,92328.08054827918,78159.67736483665,35082.28496373761,5.786862915782787,0.0511599173115387,5.402792505225399,-0.3840704105573875,0.9868627250479234,0.9868627250479234,,True
20060112010459_ML4.8,TW,TGVB,5.70498874933153,5.70498874933153,0.0704582406433896,2,257.498779296875,257.498779296875,257.498779296875,4.800000190734863,48103.54826546035,43172.488650026295,2006-01-12T01:06:44.349000,2006-01-12T01:08:19.264853,2006-01-12T01:06:44.349000,header,SEISAN_HUTTON_NM,5.655167249582116,5.754810249080945,5.417062797072415,38241.42903459225,48103.54826546035,22101.902586654996,5.70498874933153,0.0704582406433896,5.417062797072415,-0.2879259522591155,0.904988558596667,0.904988558596667,,True
20060115142929_ML3.0,TW,DBVB,3.5634769681756087,3.5634769681756087,0.0753465790902179,2,47.70921325683594,47.70921325683594,47.70921325683594,3.0,5666.777086247013,5050.308329039081,2006-01-15T14:30:01.919000,2006-01-15T14:30:17.405142,2006-01-15T14:30:01.919000,header,SEISAN_HUTTON_NM,3.6167550451895103,3.510198891161707,3.1583818495794382,5666.777086247013,4433.839571831149,1972.2543996483375,3.5634769681756087,0.0753465790902179,3.1583818495794382,-0.4050951185961704,0.5634769681756087,0.5634769681756087,,True
